Family Violence,Zip Code
N,78704.0
N,78758.0
N,78726.0
N,78701.0
N,78723.0
N,78757.0
N,78744.0
N,78723.0
N,78702.0
N,78724.0
N,78751.0
N,78752.0
N,78758.0
N,78704.0
N,78701.0
N,78745.0
N,78758.0
N,78745.0
N,78727.0
N,78704.0
N,78703.0
N,78722.0
N,78744.0
N,78753.0
N,78724.0
N,78704.0
N,78702.0
N,78748.0
N,78701.0
N,78758.0
N,78702.0
N,78705.0
N,78748.0
Y,78753.0
N,78723.0
N,78701.0
N,78745.0
N,78758.0
N,78727.0
N,78704.0
N,78721.0
N,78723.0
N,78745.0
N,78704.0
N,78752.0
N,78751.0
N,78702.0
N,78758.0
N,78748.0
N,78748.0
N,78723.0
N,78745.0
N,78701.0
N,78741.0
N,78753.0
N,78723.0
N,78704.0
N,78704.0
N,78704.0
N,78758.0
N,78753.0
N,78745.0
N,78757.0
N,78748.0
N,78704.0
N,78741.0
N,78741.0
N,78701.0
N,78721.0
N,78752.0
N,78721.0
N,78701.0
N,78753.0
N,78736.0
N,78748.0
N,78759.0
N,78704.0
N,78704.0
N,78751.0
N,78748.0
N,78704.0
N,78751.0
N,78704.0
N,78748.0
N,78752.0
N,78613.0
N,78723.0
N,78751.0
N,78741.0
N,78727.0
N,78748.0
N,78744.0
N,78702.0
N,78749.0
N,78753.0
N,78731.0
N,78703.0
N,78753.0
Y,78758.0
N,78653.0
N,78752.0
N,78759.0
N,78705.0
N,78723.0
N,78757.0
N,78721.0
N,78726.0
N,78758.0
Y,78723.0
N,78757.0
N,78731.0
N,78750.0
N,78704.0
N,78748.0
N,78702.0
N,78702.0
N,78758.0
N,78701.0
N,78704.0
N,78704.0
N,78758.0
Y,78741.0
N,78702.0
N,78753.0
N,78759.0
N,78758.0
N,78758.0
N,78748.0
Y,78729.0
N,78752.0
N,78753.0
N,78704.0
N,78741.0
N,78702.0
N,78759.0
N,78758.0
N,78748.0
N,78759.0
N,78702.0
N,78752.0
N,78744.0
N,78704.0
N,78705.0
N,78759.0
N,78759.0
N,78745.0
N,78703.0
N,78744.0
N,78758.0
N,78745.0
N,78701.0
N,78704.0
N,78745.0
N,78741.0
N,78701.0
N,78702.0
N,78759.0
N,78750.0
N,78753.0
N,78701.0
N,78744.0
N,78617.0
N,78723.0
N,78753.0
N,78704.0
N,78702.0
N,78704.0
N,78702.0
N,78704.0
N,78727.0
N,78704.0
N,78759.0
N,78660.0
N,78702.0
N,78741.0
N,78745.0
N,78758.0
N,78741.0
N,78723.0
N,78701.0
N,78750.0
N,78757.0
N,78726.0
N,78744.0
N,78744.0
N,78723.0
N,78704.0
N,78741.0
N,78759.0
N,78753.0
N,78759.0
N,78741.0
N,78705.0
N,78756.0
N,78739.0
N,78749.0
N,78753.0
N,78748.0
N,78701.0
N,78717.0
N,78728.0
N,78721.0
N,78751.0
N,78753.0
N,78753.0
N,78758.0
N,78704.0
N,78753.0
N,78731.0
N,78704.0
N,78748.0
N,78758.0
N,78705.0
N,78741.0
N,78754.0
N,78744.0
N,78723.0
N,78752.0
N,78701.0
N,78702.0
N,78758.0
N,78748.0
N,78759.0
N,78703.0
N,78701.0
N,78758.0
N,78748.0
N,78757.0
N,78735.0
N,78751.0
N,78705.0
N,78703.0
N,78758.0
N,78701.0
N,78749.0
N,78758.0
N,78752.0
N,78744.0
N,78721.0
N,78741.0
N,78745.0
N,78704.0
N,78704.0
N,78758.0
N,78744.0
N,78744.0
N,78752.0
N,78724.0
N,78731.0
N,78758.0
N,78704.0
N,78748.0
N,78705.0
N,78741.0
N,78757.0
N,78742.0
N,78751.0
N,78723.0
N,78752.0
N,78705.0
N,78758.0
N,78753.0
N,78705.0
Y,78758.0
N,78758.0
N,78613.0
N,78748.0
N,78729.0
N,78704.0
N,78753.0
N,78752.0
N,78741.0
N,78741.0
N,78759.0
N,78757.0
N,78724.0
N,78748.0
N,78721.0
N,78704.0
N,78744.0
N,78759.0
N,78729.0
N,78748.0
N,78754.0
N,78727.0
N,78753.0
N,78617.0
N,78752.0
N,78741.0
N,78752.0
N,78704.0
N,78704.0
N,78617.0
N,78701.0
N,78704.0
N,78759.0
N,78759.0
N,78752.0
N,78753.0
N,78727.0
N,78753.0
N,78753.0
N,78704.0
N,78745.0
N,78701.0
N,78748.0
N,78723.0
N,78736.0
N,78753.0
N,78704.0
N,78704.0
N,78758.0
N,78758.0
N,78745.0
N,78741.0
N,78748.0
N,78704.0
N,78744.0
N,78703.0
N,78701.0
N,78751.0
N,78741.0
N,78723.0
N,78759.0
N,78701.0
N,78752.0
N,78702.0
N,78759.0
N,78746.0
N,78753.0
N,78744.0
N,78722.0
N,78723.0
N,78704.0
N,78744.0
N,78723.0
N,78741.0
N,78759.0
N,78731.0
N,78702.0
N,78705.0
N,78757.0
N,78752.0
N,78759.0
N,78723.0
N,78704.0
N,78753.0
N,78704.0
N,78758.0
N,78752.0
N,78758.0
N,78701.0
N,78751.0
N,78723.0
N,78748.0
N,78748.0
N,78741.0
N,78701.0
N,78723.0
N,78759.0
N,78745.0
N,78701.0
N,78704.0
N,78723.0
N,78741.0
N,78701.0
N,78701.0
N,78753.0
N,78704.0
N,78748.0
N,78705.0
N,78736.0
N,78704.0
N,78703.0
N,78758.0
N,78704.0
N,78705.0
N,78753.0
N,78758.0
Y,78745.0
N,78758.0
N,78704.0
N,78736.0
N,78758.0
N,78758.0
N,78753.0
N,78660.0
N,78704.0
N,78758.0
N,78741.0
N,78758.0
N,78731.0
N,78704.0
N,78749.0
N,78704.0
N,78741.0
N,78753.0
N,78757.0
N,78741.0
N,78756.0
N,78705.0
N,78753.0
N,78705.0
N,78745.0
N,78746.0
N,78758.0
N,78751.0
N,78741.0
N,78617.0
N,78752.0
N,78748.0
N,78751.0
N,78745.0
N,78753.0
N,78748.0
N,78758.0
N,78745.0
N,78704.0
N,78701.0
N,78704.0
N,78753.0
N,78759.0
N,78723.0
N,78752.0
N,78613.0
N,78745.0
N,78758.0
N,78758.0
N,78701.0
N,78744.0
N,78744.0
N,78744.0
N,78701.0
N,78721.0
N,78757.0
N,78758.0
Y,78704.0
N,78756.0
N,78704.0
N,78759.0
N,78749.0
N,78705.0
N,78724.0
N,78704.0
N,78705.0
N,78744.0
N,78721.0
N,78758.0
N,78744.0
N,78702.0
N,78617.0
N,78729.0
N,78758.0
N,78701.0
N,78701.0
N,78757.0
N,78748.0
N,78701.0
N,78752.0
N,78751.0
N,78752.0
N,78759.0
N,78759.0
N,78744.0
N,78724.0
N,78744.0
N,78758.0
N,78745.0
N,78746.0
N,78753.0
N,78753.0
N,78701.0
N,78746.0
N,78701.0
N,78701.0
N,78701.0
N,78704.0
N,78701.0
N,78704.0
N,78759.0
N,78748.0
N,78758.0
N,78758.0
N,78758.0
N,78748.0
N,78741.0
N,78741.0
N,78705.0
N,78759.0
N,78701.0
N,78701.0
N,78753.0
N,78759.0
N,78753.0
N,78704.0
N,78745.0
N,78741.0
N,78745.0
N,78745.0
N,78751.0
N,78758.0
N,78704.0
N,78750.0
N,78759.0
N,78752.0
N,78758.0
N,78749.0
N,78751.0
N,78704.0
N,78745.0
N,78747.0
Y,78701.0
N,78701.0
N,78753.0
N,78724.0
Y,78723.0
N,78758.0
N,78704.0
N,78749.0
N,78747.0
N,78759.0
N,78744.0
N,78741.0
N,78704.0
N,78704.0
N,78758.0
N,78756.0
N,78705.0
N,78753.0
N,78731.0
N,78759.0
N,78748.0
N,78701.0
N,78741.0
N,78746.0
N,78758.0
N,78701.0
N,78759.0
N,78741.0
N,78759.0
N,78758.0
N,78758.0
N,78745.0
N,78759.0
N,78744.0
N,78701.0
Y,78745.0
N,78724.0
N,78745.0
N,78745.0
N,78748.0
N,78723.0
N,78758.0
N,78704.0
N,78752.0
N,78741.0
N,78723.0
N,78753.0
N,78701.0
N,78701.0
N,78757.0
N,78745.0
N,78703.0
N,78752.0
Y,78660.0
N,78753.0
N,78704.0
N,78741.0
N,78757.0
N,78741.0
N,78731.0
N,78741.0
N,78741.0
N,78759.0
N,78702.0
N,78745.0
N,78748.0
N,78704.0
N,78701.0
N,78757.0
N,78731.0
N,78752.0
N,78704.0
N,78731.0
N,78723.0
N,78702.0
N,78721.0
N,78744.0
N,78752.0
N,78757.0
N,78744.0
N,78704.0
N,78731.0
N,78704.0
N,78752.0
N,78702.0
N,78758.0
N,78759.0
N,78741.0
N,78729.0
N,78703.0
N,78759.0
N,78701.0
N,78704.0
N,78753.0
N,78704.0
N,78701.0
N,78701.0
N,78717.0
N,78705.0
N,78701.0
N,78723.0
N,78723.0
N,78756.0
N,78745.0
N,78704.0
N,78705.0
N,78702.0
N,78701.0
N,78753.0
Y,78758.0
N,78723.0
N,78723.0
N,78745.0
N,78753.0
N,78705.0
N,78702.0
N,78723.0
N,78750.0
N,78701.0
N,78758.0
N,78754.0
N,78701.0
N,78704.0
N,78701.0
N,78703.0
N,78701.0
N,78745.0
N,78701.0
N,78723.0
N,78748.0
N,78753.0
N,78748.0
N,78759.0
N,78702.0
N,78748.0
N,78735.0
N,78704.0
N,78705.0
N,78745.0
N,78751.0
N,78744.0
N,78744.0
N,78758.0
N,78759.0
N,78750.0
N,78724.0
N,78744.0
N,78745.0
N,78758.0
N,78758.0
N,78753.0
N,78704.0
Y,78731.0
N,78754.0
N,78744.0
N,78702.0
N,78704.0
N,78704.0
N,78704.0
N,78753.0
N,78704.0
N,78701.0
N,78704.0
N,78723.0
N,78748.0
N,78752.0
N,78748.0
N,78745.0
N,78704.0
N,78748.0
N,78701.0
N,78753.0
N,78660.0
N,78759.0
N,78753.0
N,78702.0
N,78753.0
N,78702.0
N,78749.0
N,78705.0
N,78723.0
N,78704.0
N,78745.0
N,78723.0
N,78701.0
N,78759.0
N,78758.0
N,78758.0
N,78701.0
N,78758.0
N,78748.0
N,78726.0
N,78758.0
N,78724.0
N,78759.0
N,78704.0
N,78748.0
N,78741.0
N,78701.0
N,78754.0
N,78701.0
N,78704.0
N,78758.0
N,78758.0
N,78749.0
N,78758.0
N,78758.0
N,78724.0
N,78724.0
N,78704.0
N,78748.0
N,78724.0
N,78759.0
N,78721.0
N,78722.0
N,78748.0
N,78744.0
N,78702.0
N,78753.0
N,78745.0
N,78705.0
N,78704.0
N,78704.0
Y,78702.0
N,78717.0
N,78758.0
N,78749.0
N,78753.0
N,78746.0
N,78703.0
N,78758.0
N,78746.0
N,78757.0
N,78750.0
N,78746.0
N,78701.0
N,78724.0
N,78704.0
N,78749.0
N,78741.0
Y,78702.0
N,78723.0
N,78723.0
N,78745.0
N,78731.0
N,78704.0
N,78735.0
N,78704.0
N,78721.0
N,78723.0
N,78704.0
N,78753.0
N,78701.0
N,78701.0
N,78745.0
N,78744.0
N,78758.0
N,78753.0
N,78758.0
N,78701.0
N,78748.0
N,78748.0
N,78723.0
N,78723.0
N,78745.0
N,78751.0
N,78749.0
N,78753.0
N,78729.0
N,78744.0
N,78724.0
N,78759.0
N,78748.0
N,78704.0
N,78744.0
N,78704.0
N,78753.0
N,78746.0
N,78753.0
N,78748.0
N,78722.0
N,78748.0
N,78735.0
N,78758.0
N,78701.0
N,78731.0
N,78701.0
N,78703.0
N,78701.0
N,78727.0
N,78704.0
N,78748.0
N,78748.0
N,78759.0
N,78704.0
N,78745.0
N,78721.0
N,78745.0
N,78741.0
N,78749.0
N,78617.0
Y,78724.0
N,78759.0
N,78753.0
N,78704.0
N,78704.0
N,78759.0
N,78705.0
N,78744.0
Y,78723.0
N,78751.0
N,78703.0
N,78723.0
N,78741.0
N,78729.0
N,78752.0
N,78759.0
N,78758.0
N,78758.0
N,78745.0
N,78745.0
N,78750.0
N,78701.0
N,78752.0
N,78745.0
N,78704.0
N,78701.0
N,78748.0
N,78759.0
N,78701.0
N,78748.0
N,78723.0
N,78723.0
N,78744.0
N,78745.0
N,78753.0
N,78741.0
N,78726.0
N,78701.0
N,78723.0
N,78759.0
N,78703.0
N,78701.0
N,78754.0
N,78704.0
N,78741.0
N,78758.0
N,78704.0
N,78753.0
N,78758.0
N,78702.0
N,78731.0
N,78744.0
N,78759.0
N,78748.0
N,78748.0
N,78729.0
N,78741.0
N,78754.0
N,78701.0
N,78703.0
N,78753.0
N,78704.0
N,78753.0
N,78751.0
N,78704.0
N,78753.0
N,78701.0
N,78753.0
N,78758.0
N,78759.0
N,78741.0
N,78744.0
N,78701.0
N,78717.0
N,78722.0
N,78727.0
N,78758.0
N,78744.0
N,78704.0
N,78727.0
N,78758.0
N,78701.0
N,78745.0
N,78705.0
N,78745.0
N,78731.0
N,78758.0
N,78723.0
N,78752.0
N,78704.0
N,78701.0
N,78613.0
N,78751.0
Y,78724.0
N,78703.0
N,78702.0
N,78702.0
N,78758.0
N,78752.0
N,78705.0
N,78753.0
N,78741.0
N,78748.0
N,78701.0
N,78745.0
N,78701.0
N,78758.0
N,78723.0
N,78744.0
N,78753.0
N,78753.0
N,78759.0
N,78741.0
N,78701.0
N,78745.0
N,78701.0
N,78703.0
N,78744.0
N,78758.0
N,78731.0
N,78741.0
N,78613.0
N,78759.0
N,78751.0
N,78758.0
N,78745.0
N,78704.0
N,78752.0
N,78759.0
N,78758.0
N,78723.0
N,78701.0
N,78753.0
N,78704.0
N,78748.0
N,78752.0
N,78741.0
N,78748.0
N,78702.0
N,78752.0
N,78748.0
N,78758.0
N,78749.0
N,78746.0
N,78753.0
N,78705.0
N,78752.0
N,78721.0
N,78753.0
N,78704.0
N,78745.0
N,78741.0
N,78748.0
N,78756.0
N,78741.0
N,78701.0
N,78731.0
N,78759.0
N,78745.0
N,78748.0
N,78748.0
N,78758.0
Y,78723.0
N,78741.0
N,78701.0
N,78704.0
N,78704.0
N,78752.0
N,78719.0
N,78724.0
N,78758.0
N,78702.0
N,78724.0
N,78701.0
N,78748.0
N,78723.0
N,78752.0
N,78705.0
N,78744.0
N,78758.0
N,78753.0
N,78741.0
N,78741.0
N,78702.0
N,78754.0
N,78701.0
N,78753.0
N,78754.0
N,78742.0
N,78748.0
N,78704.0
N,78704.0
N,78748.0
N,78758.0
N,78748.0
N,78745.0
N,78758.0
N,78702.0
N,78723.0
N,78741.0
N,78754.0
N,78758.0
N,78748.0
N,78703.0
N,78741.0
N,78748.0
N,78748.0
N,78723.0
N,78731.0
N,78704.0
N,78759.0
N,78752.0
N,78744.0
N,78745.0
N,78745.0
N,78704.0
N,78751.0
N,78749.0
N,78753.0
N,78748.0
N,78758.0
N,78748.0
N,78752.0
N,78705.0
N,78703.0
N,78753.0
N,78746.0
N,78701.0
N,78701.0
N,78750.0
N,78746.0
N,78722.0
N,78752.0
N,78758.0
N,78701.0
N,78704.0
N,78753.0
N,78745.0
N,78758.0
N,78704.0
N,78660.0
N,78744.0
N,78723.0
N,78727.0
N,78741.0
N,78753.0
N,78702.0
N,78750.0
N,78745.0
N,78723.0
N,78704.0
N,78758.0
N,78701.0
N,78752.0
N,78753.0
N,78745.0
N,78752.0
N,78701.0
N,78741.0
N,78758.0
N,78701.0
N,78748.0
N,78704.0
N,78701.0
N,78748.0
N,78722.0
N,78701.0
N,78613.0
N,78731.0
N,78613.0
N,78702.0
N,78704.0
N,78741.0
N,78748.0
N,78753.0
N,78754.0
N,78758.0
N,78757.0
N,78702.0
N,78723.0
N,78741.0
Y,78724.0
N,78704.0
N,78751.0
N,78749.0
N,78704.0
N,78746.0
N,78757.0
N,78735.0
N,78759.0
N,78723.0
N,78701.0
N,78703.0
N,78759.0
N,78750.0
N,78744.0
N,78723.0
N,78754.0
N,78751.0
N,78704.0
N,78744.0
N,78705.0
N,78741.0
N,78744.0
N,78745.0
N,78704.0
N,78701.0
N,78702.0
N,78741.0
N,78758.0
N,78704.0
N,78723.0
N,78748.0
N,78745.0
N,78727.0
N,78759.0
N,78705.0
N,78752.0
N,78759.0
N,78704.0
N,78705.0
N,78705.0
N,78702.0
N,78758.0
N,78705.0
N,78741.0
N,78705.0
N,78705.0
N,78745.0
N,78719.0
N,78705.0
N,78753.0
N,78719.0
N,78758.0
Y,78753.0
N,78751.0
N,78757.0
N,78741.0
N,78704.0
N,78752.0
N,78758.0
N,78723.0
N,78724.0
N,78758.0
N,78759.0
N,78701.0
N,78727.0
N,78745.0
N,78745.0
N,78753.0
N,78613.0
N,78702.0
N,78759.0
N,78741.0
N,78729.0
N,78701.0
N,78758.0
N,78745.0
N,78731.0
N,78753.0
N,78752.0
N,78741.0
N,78758.0
N,78727.0
N,78704.0
N,78722.0
N,78702.0
N,78749.0
N,78752.0
N,78744.0
N,78723.0
N,78748.0
N,78741.0
N,78704.0
N,78758.0
N,78704.0
N,78753.0
N,78749.0
N,78704.0
N,78751.0
N,78741.0
N,78758.0
N,78758.0
N,78704.0
N,78759.0
N,78704.0
N,78702.0
N,78758.0
N,78704.0
N,78704.0
N,78727.0
N,78731.0
N,78702.0
N,78705.0
N,78744.0
N,78752.0
N,78744.0
N,78702.0
N,78758.0
N,78745.0
N,78748.0
N,78752.0
N,78758.0
N,78759.0
N,78613.0
N,78757.0
N,78758.0
N,78701.0
N,78759.0
N,78703.0
N,78704.0
N,78702.0
N,78704.0
N,78757.0
N,78723.0
N,78723.0
N,78705.0
N,78758.0
N,78702.0
N,78723.0
N,78753.0
N,78758.0
N,78748.0
N,78758.0
N,78701.0
N,78724.0
N,78751.0
N,78729.0
N,78727.0
N,78758.0
N,78748.0
N,78748.0
N,78741.0
N,78758.0
N,78704.0
N,78757.0
N,78753.0
N,78724.0
N,78752.0
N,78704.0
N,78753.0
N,78758.0
N,78741.0
N,78753.0
N,78759.0
N,78758.0
N,78723.0
N,78758.0
N,78723.0
N,78744.0
N,78723.0
N,78759.0
N,78744.0
N,78705.0
N,78751.0
N,78702.0
N,78759.0
N,78759.0
N,78721.0
N,78744.0
N,78704.0
N,78702.0
N,78753.0
N,78704.0
N,78745.0
N,78752.0
N,78723.0
N,78702.0
N,78741.0
N,78756.0
N,78759.0
N,78749.0
N,78758.0
N,78758.0
N,78748.0
N,78613.0
N,78759.0
N,78741.0
N,78701.0
N,78745.0
N,78758.0
N,78727.0
N,78617.0
N,78752.0
N,78759.0
N,78752.0
N,78704.0
N,78731.0
N,78752.0
N,78748.0
N,78701.0
Y,78759.0
N,78759.0
N,78723.0
N,78741.0
N,78753.0
N,78758.0
N,78723.0
N,78723.0
N,78748.0
N,78741.0
N,78741.0
N,78703.0
N,78731.0
N,78751.0
N,78746.0
N,78731.0
N,78729.0
N,78704.0
N,78741.0
N,78745.0
N,78705.0
N,78753.0
N,78750.0
N,78617.0
N,78705.0
N,78757.0
N,78705.0
N,78741.0
N,78748.0
N,78746.0
N,78727.0
N,78758.0
N,78759.0
N,78757.0
N,78744.0
N,78758.0
N,78745.0
N,78723.0
N,78704.0
N,78701.0
N,78748.0
N,78741.0
N,78759.0
N,78759.0
N,78759.0
N,78723.0
N,78703.0
N,78758.0
N,78731.0
N,78704.0
N,78748.0
N,78749.0
N,78703.0
N,78701.0
N,78723.0
N,78759.0
N,78753.0
N,78704.0
N,78730.0
N,78758.0
N,78745.0
N,78731.0
N,78758.0
N,78753.0
N,78758.0
N,78736.0
N,78758.0
N,78704.0
N,78745.0
N,78744.0
N,78752.0
N,78731.0
N,78752.0
N,78741.0
N,78758.0
N,78744.0
N,78756.0
N,78731.0
N,78753.0
N,78751.0
N,78753.0
N,78741.0
N,78753.0
N,78704.0
N,78757.0
N,78752.0
N,78727.0
N,78704.0
N,78754.0
N,78705.0
N,78742.0
N,78730.0
N,78750.0
N,78705.0
N,78753.0
N,78748.0
N,78702.0
N,78752.0
N,78703.0
N,78705.0
N,78753.0
N,78753.0
N,78704.0
N,78758.0
N,78744.0
N,78757.0
N,78704.0
N,78750.0
N,78754.0
N,78701.0
N,78748.0
N,78757.0
N,78704.0
N,78741.0
N,78754.0
N,78701.0
N,78704.0
N,78722.0
N,78705.0
N,78751.0
N,78704.0
N,78704.0
N,78752.0
N,78757.0
N,78703.0
N,78704.0
N,78757.0
N,78744.0
N,78721.0
N,78702.0
N,78731.0
N,78751.0
N,78748.0
N,78702.0
N,78704.0
N,78704.0
N,78741.0
N,78753.0
N,78745.0
N,78702.0
N,78723.0
N,78704.0
N,78759.0
N,78741.0
N,78745.0
N,78758.0
N,78748.0
N,78744.0
N,78750.0
N,78759.0
N,78744.0
N,78753.0
N,78749.0
N,78748.0
N,78756.0
N,78749.0
N,78703.0
N,78704.0
N,78704.0
N,78758.0
N,78741.0
N,78752.0
N,78756.0
N,78705.0
N,78745.0
N,78722.0
N,78721.0
N,78752.0
N,78704.0
N,78704.0
N,78745.0
N,78704.0
N,78752.0
N,78721.0
N,78704.0
N,78753.0
N,78758.0
N,78756.0
N,78759.0
N,78759.0
N,78741.0
N,78701.0
N,78704.0
N,78701.0
N,78758.0
N,78704.0
N,78758.0
N,78753.0
N,78752.0
N,78752.0
N,78701.0
N,78701.0
N,78758.0
N,78744.0
N,78723.0
N,78731.0
N,78731.0
N,78752.0
N,78758.0
N,78759.0
N,78723.0
N,78758.0
N,78701.0
N,78702.0
N,78747.0
N,78723.0
N,78754.0
N,78756.0
N,78749.0
N,78723.0
N,78741.0
N,78727.0
N,78721.0
N,78759.0
N,78727.0
N,78741.0
N,78704.0
N,78753.0
N,78660.0
N,78741.0
N,78757.0
N,78745.0
N,78704.0
N,78727.0
N,78759.0
N,78705.0
N,78758.0
N,78751.0
N,78758.0
N,78758.0
N,78759.0
N,78735.0
N,78752.0
N,78701.0
N,78752.0
N,78744.0
N,78748.0
N,78753.0
N,78704.0
N,78729.0
N,78723.0
N,78757.0
N,78744.0
N,78702.0
N,78702.0
N,78741.0
N,78753.0
N,78756.0
N,78744.0
N,78704.0
N,78723.0
N,78745.0
N,78701.0
N,78704.0
N,78747.0
N,78701.0
N,78704.0
N,78701.0
N,78704.0
N,78758.0
N,78759.0
N,78727.0
N,78745.0
N,78727.0
N,78701.0
N,78723.0
N,78735.0
N,78753.0
N,78745.0
N,78750.0
N,78702.0
N,78758.0
N,78753.0
N,78748.0
N,78704.0
N,78749.0
N,78754.0
N,78753.0
N,78746.0
N,78723.0
N,78701.0
N,78758.0
N,78617.0
N,78703.0
N,78741.0
N,78753.0
N,78753.0
N,78741.0
N,78705.0
N,78752.0
N,78745.0
N,78759.0
N,78741.0
N,78741.0
N,78752.0
N,78741.0
N,78748.0
N,78752.0
N,78729.0
N,78702.0
N,78741.0
N,78748.0
N,78749.0
N,78704.0
N,78721.0
N,78758.0
N,78701.0
N,78758.0
N,78748.0
N,78744.0
N,78751.0
N,78757.0
N,78753.0
N,78745.0
N,78752.0
N,78704.0
N,78701.0
N,78701.0
N,78704.0
N,78753.0
N,78731.0
N,78703.0
N,78751.0
N,78753.0
N,78741.0
N,78702.0
N,78757.0
N,78745.0
N,78753.0
N,78759.0
N,78745.0
N,78753.0
N,78748.0
N,78748.0
N,78704.0
N,78751.0
N,78757.0
N,78758.0
N,78701.0
N,78745.0
N,78753.0
N,78748.0
N,78704.0
N,78759.0
N,78756.0
N,78758.0
N,78723.0
N,78748.0
N,78753.0
N,78745.0
N,78704.0
N,78745.0
N,78613.0
N,78757.0
N,78758.0
N,78704.0
N,78702.0
N,78705.0
N,78759.0
N,78754.0
N,78730.0
N,78741.0
N,78744.0
N,78757.0
N,78758.0
N,78727.0
N,78753.0
N,78758.0
N,78753.0
N,78744.0
N,78748.0
N,78741.0
N,78744.0
N,78744.0
N,78701.0
N,78751.0
N,78704.0
N,78745.0
N,78704.0
N,78748.0
N,78758.0
N,78744.0
N,78741.0
N,78757.0
N,78717.0
N,78704.0
N,78757.0
N,78752.0
N,78758.0
N,78753.0
N,78753.0
N,78704.0
N,78704.0
N,78704.0
N,78704.0
N,78744.0
N,78757.0
N,78703.0
N,78748.0
N,78660.0
N,78705.0
N,78723.0
N,78704.0
N,78723.0
N,78750.0
N,78749.0
N,78751.0
N,78701.0
N,78758.0
N,78748.0
N,78758.0
N,78744.0
N,78745.0
N,78741.0
N,78701.0
N,78758.0
N,78717.0
N,78749.0
N,78753.0
N,78741.0
N,78744.0
N,78701.0
N,78744.0
N,78748.0
N,78758.0
N,78704.0
N,78758.0
N,78701.0
N,78731.0
N,78704.0
N,78754.0
N,78759.0
N,78759.0
N,78753.0
N,78723.0
N,78751.0
N,78744.0
N,78746.0
N,78702.0
N,78758.0
N,78758.0
N,78730.0
N,78759.0
N,78758.0
N,78744.0
N,78729.0
N,78741.0
N,78701.0
N,78744.0
N,78758.0
N,78704.0
N,78745.0
N,78741.0
N,78703.0
N,78748.0
Y,78723.0
N,78741.0
N,78753.0
N,78723.0
N,78749.0
N,78746.0
N,78704.0
N,78704.0
N,78759.0
N,78759.0
N,78752.0
N,78748.0
N,78749.0
N,78741.0
N,78744.0
N,78744.0
N,78704.0
N,78745.0
N,78727.0
N,78723.0
N,78701.0
N,78729.0
N,78705.0
N,78757.0
N,78741.0
N,78701.0
N,78753.0
N,78702.0
N,78701.0
N,78701.0
N,78753.0
N,78748.0
N,78745.0
N,78744.0
N,78747.0
N,78748.0
N,78757.0
N,78723.0
N,78759.0
N,78759.0
N,78704.0
N,78754.0
N,78748.0
N,78735.0
N,78702.0
N,78748.0
N,78749.0
N,78759.0
N,78753.0
Y,78750.0
N,78749.0
N,78704.0
N,78727.0
N,78704.0
N,78753.0
N,78753.0
N,78757.0
N,78758.0
N,78704.0
N,78704.0
N,78758.0
N,78704.0
Y,78704.0
N,78758.0
N,78744.0
N,78758.0
N,78751.0
N,78752.0
N,78741.0
N,78748.0
N,78722.0
N,78753.0
N,78702.0
N,78754.0
N,78702.0
N,78753.0
N,78758.0
N,78748.0
N,78704.0
N,78731.0
N,78756.0
N,78723.0
N,78758.0
N,78748.0
N,78758.0
N,78741.0
N,78617.0
N,78702.0
N,78758.0
N,78758.0
N,78753.0
N,78705.0
N,78758.0
N,78723.0
N,78704.0
N,78727.0
N,78753.0
N,78748.0
N,78758.0
N,78744.0
N,78753.0
N,78754.0
N,78613.0
N,78724.0
N,78704.0
N,78751.0
N,78744.0
Y,78702.0
N,78702.0
N,78748.0
N,78701.0
N,78754.0
N,78741.0
N,78730.0
N,78746.0
N,78717.0
N,78758.0
N,78704.0
N,78723.0
N,78729.0
N,78744.0
N,78753.0
N,78758.0
N,78757.0
N,78704.0
N,78750.0
N,78701.0
N,78746.0
N,78701.0
N,78723.0
N,78746.0
N,78748.0
N,78745.0
N,78759.0
Y,78752.0
N,78701.0
N,78702.0
N,78741.0
N,78758.0
N,78746.0
N,78660.0
N,78752.0
N,78704.0
N,78704.0
N,78702.0
N,78703.0
Y,78758.0
N,78723.0
N,78704.0
N,78758.0
N,78748.0
N,78752.0
N,78753.0
N,78753.0
N,78701.0
N,78752.0
N,78759.0
N,78745.0
N,78727.0
N,78758.0
N,78758.0
N,78613.0
N,78741.0
N,78757.0
N,78749.0
Y,78752.0
N,78701.0
N,78749.0
N,78748.0
N,78724.0
N,78757.0
N,78748.0
N,78741.0
N,78751.0
N,78748.0
N,78617.0
N,78748.0
N,78758.0
N,78758.0
N,78702.0
N,78758.0
N,78705.0
N,78758.0
N,78704.0
N,78745.0
N,78748.0
N,78701.0
N,78748.0
N,78758.0
N,78721.0
N,78752.0
N,78758.0
N,78758.0
N,78759.0
N,78758.0
N,78745.0
N,78741.0
N,78749.0
N,78731.0
N,78753.0
N,78731.0
N,78741.0
N,78724.0
N,78753.0
N,78741.0
N,78753.0
N,78754.0
N,78721.0
N,78727.0
N,78704.0
N,78744.0
N,78723.0
N,78758.0
N,78759.0
N,78750.0
N,78756.0
N,78719.0
N,78753.0
N,78749.0
N,78704.0
N,78731.0
N,78759.0
N,78750.0
N,78705.0
N,78752.0
N,78753.0
N,78719.0
N,78741.0
N,78704.0
N,78752.0
N,78759.0
N,78703.0
N,78748.0
N,78704.0
N,78748.0
N,78758.0
